file,line,marker,snippet
tests/test_critical_fixes_focused.py,105,mock_class,        from trade_execution import ExecutionEngine
scripts/features.py,5,mock_class,    from datetime import datetime
scripts/features.py,8,mock_class,            pass
scripts/features.py,16,mock_class,except ImportError:
scripts/predict.py,14,mock_class,    # Create minimal joblib fallback
scripts/predict.py,18,mock_class,            # Return a minimal mock model
scripts/backtest_framework.py,72,mock_class,    def test_position_sizing(self):
scripts/metrics_logger.py,15,mock_class,"    # AI-AGENT-REF: numpy not available, create minimal fallback"
scripts/risk_engine.py,12,mock_class,"    # AI-AGENT-REF: numpy not available, create minimal fallback"
scripts/risk_engine.py,15,mock_class,            pass
scripts/risk_engine.py,42,mock_class,    from datetime import datetime
scripts/risk_engine.py,47,mock_class,            return 0
scripts/risk_engine.py,1126,mock_class,"    # AI-AGENT-REF: pandas_ta not available, create minimal fallback"
scripts/critical_fixes_validation.py,32,mock_class,        from trade_execution import ExecutionEngine
scripts/critical_fixes_validation.py,37,mock_class,"                self.id = ""test_order_123"""
scripts/critical_fixes_validation.py,83,mock_class,        # Create signals with out-of-range confidence from production logs
scripts/critical_fixes_validation.py,130,mock_class,        from trade_execution import ExecutionEngine
scripts/retrain.py,13,mock_class,    # Create minimal joblib fallback
scripts/retrain.py,17,mock_class,            # Return a minimal mock model
scripts/retrain.py,34,mock_class,    # Create minimal numpy fallback
scripts/retrain.py,114,mock_class,"    def make_pipeline(*args, **kwargs):"
scripts/validate_critical_fix.py,33,mock_class,from ai_trading.trade_execution import ExecutionEngine
scripts/validate_critical_fix.py,42,mock_class,"        self.symbol = ""TEST"""
tests/mocks/tenacity_mock.py,5,mock_class,    return decorator
tests/support/mocks_runtime.py,8,mock_class,""""""""
tests/support/mocks_runtime.py,35,mock_class,        return []
tests/support/mocks_runtime.py,45,mock_class,        return MockDataFrame()
tests/support/mocks_runtime.py,66,mock_class,        return self
tests/support/mocks_runtime.py,84,mock_class,# Add more mock classes as needed when moving them from runtime code
tests/support/mocks_runtime.py,96,mock_class,"        return [0.33, 0.34, 0.33]  # neutral sentiment"
tests/support/mocks_runtime.py,103,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,110,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,117,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,124,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,134,mock_class,        return MockTicker()
tests/support/mocks_runtime.py,141,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,148,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,155,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,162,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,169,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,176,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,183,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,190,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,197,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,204,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,211,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,218,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,225,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,232,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,239,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,246,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,253,mock_class,"        return lambda *args, **kwargs: self"
tests/support/mocks_runtime.py,260,mock_class,"        return lambda *args, **kwargs: self"
tests/institutional/framework.py,22,mock_class,    logger = logging.getLogger(__name__)
